CISP;mes;ano;pop
135;8;2003;22971
135;9;2003;22970
135;10;2003;22969
135;11;2003;22968
135;12;2003;22967
136;1;2003;47677
136;2;2003;47710
136;3;2003;47743
136;4;2003;47776
136;5;2003;47809
136;6;2003;47842
136;7;2003;47873
136;8;2003;47907
136;9;2003;47940
136;10;2003;47973
136;11;2003;48007
136;12;2003;48040
137;1;2003;27009
137;2;2003;27007
137;3;2003;27005
137;4;2003;27003
137;5;2003;27001
137;6;2003;26999
137;7;2003;26998
137;8;2003;26996
137;9;2003;26994
137;10;2003;26992
137;11;2003;26990
137;12;2003;26988
138;1;2003;7801
138;2;2003;7798
138;3;2003;7794
138;4;2003;7791
138;5;2003;7787
138;6;2003;7784
138;7;2003;7780
138;8;2003;7776
138;9;2003;7773
138;10;2003;7769
138;11;2003;7766
138;12;2003;7762
139;1;2003;16386
139;2;2003;16401
139;3;2003;16416
139;4;2003;16431
139;5;2003;16445
139;6;2003;16460
139;7;2003;16474
139;8;2003;16489
139;9;2003;16504
139;10;2003;16519
139;11;2003;16534
139;12;2003;16548
140;1;2003;23346
140;2;2003;23358
140;3;2003;23371
140;4;2003;23384
140;5;2003;23396
140;6;2003;23409
140;7;2003;23421
140;8;2003;23434
140;9;2003;23446
140;10;2003;23459
140;11;2003;23472
140;12;2003;23485
141;1;2003;36976
141;2;2003;36982
141;3;2003;36989
141;4;2003;36995
141;5;2003;37001
141;6;2003;37007
141;7;2003;37014
141;8;2003;37020
141;9;2003;37026
141;10;2003;37032
141;11;2003;37039
141;12;2003;37045
142;1;2003;14709
142;2;2003;14710
142;3;2003;14712
142;4;2003;14713
142;5;2003;14714
142;6;2003;14716
142;7;2003;14717
142;8;2003;14718
142;9;2003;14720
142;10;2003;14721
142;11;2003;14722
142;12;2003;14723
143;1;2003;121037
143;2;2003;121128
143;3;2003;121219
143;4;2003;121310
143;5;2003;121401
143;6;2003;121493
143;7;2003;121580
143;8;2003;121671
143;9;2003;121763
143;10;2003;121854
143;11;2003;121946
143;12;2003;122038
144;1;2003;34086
144;2;2003;34100
144;3;2003;34115
144;4;2003;34129
144;5;2003;34144
144;6;2003;34158
144;7;2003;34172
144;8;2003;34187
144;9;2003;34202
144;10;2003;34216
144;11;2003;34231
144;12;2003;34245
145;1;2003;28871
145;2;2003;28912
145;3;2003;28953
145;4;2003;28994
145;5;2003;29035
145;6;2003;29076
145;7;2003;29113
145;8;2003;29154
145;9;2003;29195
145;10;2003;29237
145;11;2003;29278
145;12;2003;29319
146;1;2003;195244
146;2;2003;195415
146;3;2003;195585
146;4;2003;195755
146;5;2003;195926
146;6;2003;196097
146;7;2003;196258
146;8;2003;192994
146;9;2003;189784
146;10;2003;186627
146;11;2003;183523
146;12;2003;180471
151;1;2003;175546
151;2;2003;175617
151;3;2003;175689
